               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0839,            0.028122,            0.033005,             0.51529,            0.043659,            0.094566,            0.030528,             0.04722,           0.0097698,            0.022582,            0.070545,           0.0032727,           0.0032727
                   1,            0.063706,            0.025377,            0.026145,             0.13873,             0.27037,             0.16065,             0.10785,            0.042214,           0.0086248,            0.019724,            0.040109,           0.0061701,           0.0061701
                   2,             0.05455,            0.022682,            0.022166,             0.50078,             0.36885,             0.16438,            0.082008,            0.045019,             0.00797,            0.021408,           0.0092335,           0.0086274,           0.0086274
                   3,            0.050634,            0.021995,            0.017674,             0.22676,              0.3082,             0.21892,            0.072199,            0.041615,           0.0077926,            0.011588,             0.00802,             0.00802,             0.00802
                   4,               0.052,            0.021847,            0.014057,             0.48085,             0.51493,             0.46681,             0.22137,            0.036097,           0.0080732,           0.0058925,             0.00802,             0.00802,             0.00802
                   5,            0.050521,            0.020886,            0.012061,             0.28613,             0.46941,             0.20318,            0.087966,            0.038834,            0.008473,            0.020497,             0.00736,             0.00736,             0.00736
                   6,            0.048639,            0.020347,            0.010002,             0.59128,             0.54232,             0.53703,              0.2135,            0.033466,           0.0072657,            0.008647,              0.0067,              0.0067,              0.0067
                   7,            0.047554,            0.020208,            0.011591,             0.71051,             0.57037,             0.64027,              0.3319,            0.033224,           0.0064574,            0.004282,             0.00604,             0.00604,             0.00604
                   8,            0.043737,            0.018925,           0.0090121,             0.66073,             0.65898,             0.66433,             0.35986,            0.032182,           0.0064704,           0.0048449,             0.00538,             0.00538,             0.00538
                   9,            0.045306,            0.019291,           0.0089984,             0.72854,             0.68289,             0.73894,             0.38741,            0.029564,           0.0067002,           0.0030946,             0.00472,             0.00472,             0.00472
                  10,             0.04731,            0.018287,           0.0079395,             0.76925,             0.63524,             0.74651,             0.40379,            0.029978,           0.0062795,           0.0033034,             0.00406,             0.00406,             0.00406
                  11,            0.044476,            0.019359,           0.0083438,             0.76914,             0.60203,             0.70668,             0.40255,            0.031698,            0.006374,           0.0078758,              0.0034,              0.0034,              0.0034
                  12,            0.039709,            0.018133,           0.0066866,              0.8308,             0.78749,             0.85472,             0.49362,            0.028353,           0.0056394,           0.0027604,             0.00274,             0.00274,             0.00274
                  13,            0.040386,            0.017469,           0.0058269,              0.8066,              0.8252,              0.8414,              0.4954,             0.02712,           0.0055916,           0.0022333,             0.00208,             0.00208,             0.00208
                  14,            0.036898,            0.017287,           0.0053684,             0.86427,             0.83474,             0.89089,             0.52616,            0.026891,           0.0055356,           0.0017102,             0.00142,             0.00142,             0.00142
